2184,229
2215,269
2215,316
2190,358
2142,365
2103,336
2095,293
2110,247
2144,224
2353,229
2380,269
2380,316
2357,358
2310,365
2269,336
2260,293
2271,247
2310,224
2430,366
2430,333
2430,302
2430,266
2430,232
2472,229
2503,250
2498,290
2468,304
2551,311
2581,311
2634,236
2671,225
2699,247
2695,281
2672,306
2642,330
2629,366
2668,366
2705,366
2786,366
2755,353
2745,321
2744,283
2752,245
2787,224
2818,247
2827,280
2824,315
2815,351
2868,235
2902,225
2933,245
2930,281
2903,307
2873,332
2861,366
2901,366
2942,366
2987,229
3024,225
3047,250
3038,277
3001,292
3038,305
3051,333
3025,365
2986,362
